marketplace;customer_id;review_id;product_id;product_parent;product_title;product_category;star_rating;helpful_votes;total_votes;vine;verified_purchase;review_headline;review_body;review_date
US;36075342;RAB23OVFNCXZQ;B00LPRXQ4Y;339193102;"17"" 2003-2006 Ford EXPEDITION Ford F150 2004-2008 OEM Chrome Center Cap Hubcap Wheel Cover 3518 5L34-1A096-GA";Automotive;1;0;0;N;Y;As it was used,;As it was used, the method that Ford used to attach it to the wheel was worn and thus the cap flew off into the night on a gravel road;31-08-2015
US;42462164;R3NORADVJO6IE6;B000C7S0TO;907684644;Spectra Premium CU1909 Complete Radiator for Toyota Camry;Automotive;5;0;0;N;Y;Five Stars;Put it in fine, no problems. Shipping was decent 5 days.;31-08-2015
US;21241933;R299F4SO98S5OO;B000CO9WE4;752246352;K&N E-4665 High Performance Replacement Industrial Air Filter;Automotive;5;1;1;N;Y;Great fit and performance on the surface drive motor.;Fit wonderfully on my 36HP Pro-Drive motor.;31-08-2015
US;52570308;R2DA9DOT03UW6I;B000GKD5NI;105401756;Suncutters Rear Window Shade;Automotive;5;2;3;N;Y;Good for the price. Fits fairly good on 2010 Toyota Camry;Good for the price!  So far I have put it up in the back window of my 2010 Camry and after several times using my spit and pushing very hard on the suction cups so that you get a black circle effect from looking at it from the outside of the window, they have stuck and have not come off at all.  Make sure you use spit and apply pressure around the entire suction cup to make a secure seal.  Like I said from outside it should look like an all black circle if you have a nice seal going.  Has been up for around one month and has stayed.  It could have been made a little wider as it doesn't cover the entire back window top to bottom, but does seem to be pretty good coverage side to side.;31-08-2015
US;38200102;R2OGCH681EQHU6;B009SDA7TE;728471129;Lug Nuts Landcruiser Tundra OEM Mag 14x1.5 Thread Set of 20 Pcs;Automotive;5;0;0;N;Y;Five Stars;Fit perfectly on my 2012 Tundra with stock alu rims.;31-08-2015
US;36075342;R2JMKIC16MHD7;B00KV15KRG;962286893;Fits 2007-2009 Honda CR-V Real Gray Leather Seat Armrest Covers (Leather Part Only);Automotive;5;2;2;N;Y;Fit Well and Better Quality;Product fits well and closely matches color of original equipment.....much better quality than the original.;31-08-2015
US;184627;R1DB5DA7CWWTI8;B0002JMAKW;267002949;Castrol 12614 Dot 4 Synthetic Brake Fluid;Automotive;5;0;0;N;Y;convenient, fast delivery,;convenient ,fast delivery, and fair price;31-08-2015
US;36075342;R1N8XWFDK4QACP;B00XJKMM6S;570789093;New Power Window Switch for 1990-2003 Mitsubishi Montero Pajero V31 V32 # MR753373 MB781916;Automotive;5;0;0;N;Y;Five Stars;is good;31-08-2015
US;40946484;R19VFLX6MRU0CX;B000C5CEKC;389524802;Motorad MGC-791 Locking Fuel Cap;Automotive;5;0;0;N;Y;GOOD deal.  Great cap;wonderful.  if you need a locking cap, and we did for our jeep grand cherokee as there was a rash of gas siphoning last winter, this is a good one.  no problems.;31-08-2015
